timestamp,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01T00:00:00Z,16541.77,16628.0,16499.01,16616.75,96925.41374,2023-01-01 23:59:59.999000+00:00,1610585368.7641451,,,,
2023-01-02T00:00:00Z,16617.17,16799.23,16548.7,16672.87,121888.57191,2023-01-02 23:59:59.999000+00:00,2032232313.9410815,,,,
2023-01-03T00:00:00Z,16672.78,16778.4,16605.28,16675.18,159541.53733,2023-01-03 23:59:59.999000+00:00,2660383852.454469,,,,
2023-01-04T00:00:00Z,16675.65,16991.87,16652.66,16850.36,220362.18862,2023-01-04 23:59:59.999000+00:00,3713182208.6349034,,,,
2023-01-05T00:00:00Z,16850.36,16879.82,16753.0,16831.85,163473.56641,2023-01-05 23:59:59.999000+00:00,2751562548.778158,,,,
2023-01-06T00:00:00Z,16831.85,17041.0,16679.0,16950.65,207401.28415,2023-01-06 23:59:59.999000+00:00,3515586577.1771975,,,,
2023-01-07T00:00:00Z,16950.31,16981.91,16908.0,16943.57,104526.5688,2023-01-07 23:59:59.999000+00:00,1771053235.3226159,,,,
2023-01-08T00:00:00Z,16943.83,17176.99,16911.0,17127.83,135155.89695,2023-01-08 23:59:59.999000+00:00,2314927226.4571185,,,,
2023-01-09T00:00:00Z,17127.83,17398.8,17104.66,17178.26,266211.52723,2023-01-09 23:59:59.999000+00:00,4573050829.75402,,,,
2023-01-10T00:00:00Z,17179.04,17499.0,17146.34,17440.66,221382.42581,2023-01-10 23:59:59.999000+00:00,3861055618.5274343,,,,
2023-01-11T00:00:00Z,17440.64,18000.0,17315.6,17943.26,262221.60653,2023-01-11 23:59:59.999000+00:00,4705110463.585487,,,,
2023-01-12T00:00:00Z,17943.26,19117.04,17892.05,18846.62,454568.32178,2023-01-12 23:59:59.999000+00:00,8567076424.625383,,,,
2023-01-13T00:00:00Z,18846.62,20000.0,18714.12,19930.01,368615.87823,2023-01-13 23:59:59.999000+00:00,7346518139.282681,,,,
2023-01-14T00:00:00Z,19930.01,21258.0,19888.05,20954.92,393913.74951,2023-01-14 23:59:59.999000+00:00,8254431107.882089,,,,
2023-01-15T00:00:00Z,20952.76,21050.74,20551.01,20871.5,178542.22549,2023-01-15 23:59:59.999000+00:00,3726444059.314535,,,,
2023-01-16T00:00:00Z,20872.99,21474.05,20611.48,21185.65,293078.08262,2023-01-16 23:59:59.999000+00:00,6209049681.058403,,,,
2023-01-17T00:00:00Z,21185.65,21647.45,20841.31,21134.81,275407.74409,2023-01-17 23:59:59.999000+00:00,5820690343.870773,,,,
2023-01-18T00:00:00Z,21132.29,21650.0,20407.15,20677.47,350916.01949,2023-01-18 23:59:59.999000+00:00,7256055465.5238905,,,,
2023-01-19T00:00:00Z,20677.47,21192.0,20659.19,21071.59,251385.84925,2023-01-19 23:59:59.999000+00:00,5297099547.197807,,,,
2023-01-20T00:00:00Z,21071.59,22755.93,20861.28,22667.21,338079.13659,2023-01-20 23:59:59.999000+00:00,7663310785.704214,,,,
2023-01-21T00:00:00Z,22666.0,23371.8,22422.0,22783.55,346445.48432,2023-01-21 23:59:59.999000+00:00,7893258014.278935,,,,
2023-01-22T00:00:00Z,22783.35,23078.71,22292.37,22707.88,253577.75286,2023-01-22 23:59:59.999000+00:00,5758213182.614537,,,,
2023-01-23T00:00:00Z,22706.02,23180.0,22500.0,22916.45,293588.37938,2023-01-23 23:59:59.999000+00:00,6728003416.642801,,,,
2023-01-24T00:00:00Z,22917.81,23162.2,22462.93,22632.89,293158.78254,2023-01-24 23:59:59.999000+00:00,6635030477.76174,,,,
2023-01-25T00:00:00Z,22631.94,23816.73,22300.0,23060.94,346042.83223,2023-01-25 23:59:59.999000+00:00,7980072991.486095,,,,
2023-01-26T00:00:00Z,23060.42,23282.47,22850.01,23009.65,288924.43581,2023-01-26 23:59:59.999000+00:00,6648050144.435567,,,,
2023-01-27T00:00:00Z,23009.65,23500.0,22534.88,23074.16,280833.86315,2023-01-27 23:59:59.999000+00:00,6480005491.741203,,,,
2023-01-28T00:00:00Z,23074.16,23189.0,22878.46,23022.6,148115.71085,2023-01-28 23:59:59.999000+00:00,3410008764.61521,,,,
2023-01-29T00:00:00Z,23021.4,23960.54,22967.76,23742.3,295688.79204,2023-01-29 23:59:59.999000+00:00,7020332007.251291,,,,
2023-01-30T00:00:00Z,23743.37,23800.51,22500.0,22826.15,302405.90121,2023-01-30 23:59:59.999000+00:00,6902762461.904641,,,,
2023-01-31T00:00:00Z,22827.38,23320.0,22714.77,23125.13,264649.34909,2023-01-31 23:59:59.999000+00:00,6120050602.121632,,,,
2023-02-01T00:00:00Z,23125.13,23812.66,22760.23,23732.66,310790.42271,2023-02-01 23:59:59.999000+00:00,7375883433.432709,,,,
2023-02-02T00:00:00Z,23731.41,24255.0,23363.27,23488.94,364177.20751,2023-02-02 23:59:59.999000+00:00,8554136576.569939,,,,
2023-02-03T00:00:00Z,23489.33,23715.7,23204.62,23431.9,332571.02904,2023-02-03 23:59:59.999000+00:00,7792771095.362376,,,,
2023-02-04T00:00:00Z,23431.9,23587.78,23253.96,23326.84,166126.47295,2023-02-04 23:59:59.999000+00:00,3875205654.268978,,,,
2023-02-05T00:00:00Z,23327.66,23433.33,22743.0,22932.91,209251.33917,2023-02-05 23:59:59.999000+00:00,4798742128.565084,,,,
